pmid,title,journal,year,compound,endpoint,activity,evidence
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOS,developmental,1.0,"positive_kw=2, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFOA,NR-AR,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFOA,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFNA,NR-AR,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFNA,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFHxS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alter,Lipids in health and disease,2025,PFHxS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
40891830,"Letter to the Editor: ""Unraveling the molecular mechanisms of PFOA in clear cell","International journal of surgery (London, England)",2025,PFOA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35026182,Framework for risk assessment of PFAS utilizing experimental studies and in-sili,Environmental research,2022,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
35026182,Framework for risk assessment of PFAS utilizing experimental studies and in-sili,Environmental research,2022,PFOS,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
41083578,Investigation of the toxicological effects of PFAS on cholangiocarcinoma based o,Scientific reports,2025,PFOA,NR-AR,1.0,"positive_kw=3, negative_kw=0"
41083578,Investigation of the toxicological effects of PFAS on cholangiocarcinoma based o,Scientific reports,2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
30248109,Rubella immunity and serum perfluoroalkyl substances: Sex and analytic strategy.,PloS one,2018,PFOA,hepatotoxicity,1.0,"positive_kw=4, negative_kw=1"
30248109,Rubella immunity and serum perfluoroalkyl substances: Sex and analytic strategy.,PloS one,2018,PFOA,immunotoxicity,1.0,"positive_kw=4, negative_kw=1"
30248109,Rubella immunity and serum perfluoroalkyl substances: Sex and analytic strategy.,PloS one,2018,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=1"
30248109,Rubella immunity and serum perfluoroalkyl substances: Sex and analytic strategy.,PloS one,2018,PFOS,immunotoxicity,1.0,"positive_kw=4, negative_kw=1"
37069739,US and international per- and polyfluoroalkyl substances surface water quality c,Integrated environmental assessment and management,2024,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
37069739,US and international per- and polyfluoroalkyl substances surface water quality c,Integrated environmental assessment and management,2024,PFOS,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
39073492,Elucidating the degradation mechanisms of perfluorooctanoic acid and perfluorooc,Environmental geochemistry and health,2024,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
39073492,Elucidating the degradation mechanisms of perfluorooctanoic acid and perfluorooc,Environmental geochemistry and health,2024,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
34798108,Elucidating the molecular mechanisms of perfluorooctanoic acid-serum protein int,Chemosphere,2022,PFOA,NR-AR,1.0,"positive_kw=2, negative_kw=0"
34798108,Elucidating the molecular mechanisms of perfluorooctanoic acid-serum protein int,Chemosphere,2022,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
34762945,Global occurrence and probabilistic environmental health hazard assessment of pe,The Science of the total environment,2022,PFOA,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
34762945,Global occurrence and probabilistic environmental health hazard assessment of pe,The Science of the total environment,2022,PFOS,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
34296455,Argumentation Analysis of Risk Assessments: The Case of Perfluorooctanoic Acid.,Risk analysis : an official publication of the Society for Risk Analysis,2022,PFOA,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
34400261,The Dilemma of perfluorooctanoate (PFOA) human half-life.,Regulatory toxicology and pharmacology : RTP,2021,PFOA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) ,Journal of xenobiotics,2024,PFOA,NR-AR,1.0,"positive_kw=3, negative_kw=0"
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) ,Journal of xenobiotics,2024,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) ,Journal of xenobiotics,2024,PFOA,immunotoxicity,1.0,"positive_kw=3, negative_kw=0"
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) ,Journal of xenobiotics,2024,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) ,Journal of xenobiotics,2024,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
