pmid,title,journal,year,compound,endpoint,activity
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFHxS,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOA,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOA,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOS,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOS,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFNA,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFNA,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFHxS,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFHxS,endocrine,1.0
40692028,A case-cohort study of the association between per- and polyfluoroalkyl substances (PFAS) and breast,Environmental research,2025,PFOA,hepatotoxicity,1.0
40692028,A case-cohort study of the association between per- and polyfluoroalkyl substances (PFAS) and breast,Environmental research,2025,PFOS,hepatotoxicity,1.0
40692028,A case-cohort study of the association between per- and polyfluoroalkyl substances (PFAS) and breast,Environmental research,2025,PFNA,hepatotoxicity,1.0
40692028,A case-cohort study of the association between per- and polyfluoroalkyl substances (PFAS) and breast,Environmental research,2025,PFHxS,hepatotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,PFOA,hepatotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,PFOA,immunotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,PFOS,hepatotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,PFOS,immunotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,PFBA,hepatotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,PFBA,immunotoxicity,1.0
