pmid,title,journal,year,compounds,endpoints,values,source
39512894,Per-and polyfluoroalkyl substances and disrupted sleep: mediating roles of proteins.,Environmental advances,2024,PFOA; PFOS; PFNA; PFDA; PFHXS,toxicity,,PMID:39512894
36801483,"Embryonic exposure to PFAS causes long-term, compound-specific behavioral alterations in zebrafish.",Neurotoxicology and teratology,2023,PFOA; PFOS,toxicity,,PMID:36801483
39182754,Asthma and decreased lung function in children exposed to perfluoroalkyl and polyfluoroalkyl substances (PFAS): An updated meta-analysis unveiling research gaps.,Environmental research,2024,PFOA; PFOS,toxicity,,PMID:39182754
28617200,Exposure to PFOA and PFOS and fetal growth: a critical merging of toxicological and epidemiological data.,Critical reviews in toxicology,2017,PFOA; PFOS,toxicity,,PMID:28617200
37027489,Lipidomic Profiling of PFOA-Exposed Mouse Liver by Multi-Modal Mass Spectrometry Analysis.,Analytical chemistry,2023,PFOA,toxicity,,PMID:37027489
38652827,In vitro evaluation of the carcinogenic potential of perfluorinated chemicals.,ALTEX,2024,PFOA; PFOS,toxicity,"('50', 'ppm')",PMID:38652827
40079289,"[«PFAS», pollutants in the spotlight].",Revue medicale de Liege,2025,PFOA; PFOS,toxicity,,PMID:40079289
40500729,Suppression effect of folate on poly- and perfluoroalkyl substance-induced alterations in lipids and the atherogenic index of plasma in adolescents.,Lipids in health and disease,2025,PFOA; PFOS; PFNA,toxicity,,PMID:40500729
40891830,"Letter to the Editor: ""Unraveling the molecular mechanisms of PFOA in clear cell renal cell carcinoma through network toxicology and molecular docking strategies.","International journal of surgery (London, England)",2025,PFOA,toxicity,,PMID:40891830
35026182,Framework for risk assessment of PFAS utilizing experimental studies and in-silico models.,Environmental research,2022,PFOA; PFOS,toxicity,,PMID:35026182
41083578,"Investigation of the toxicological effects of PFAS on cholangiocarcinoma based on network toxicology, bioinformatics, and molecular docking.",Scientific reports,2025,PFOA; PFOS,SR-p53; toxicity,,PMID:41083578
30248109,Rubella immunity and serum perfluoroalkyl substances: Sex and analytic strategy.,PloS one,2018,PFOA; PFOS,toxicity,,PMID:30248109
33609849,Per- and polyfluoroalkyl substances (PFAS) in livestock and game species: A review.,The Science of the total environment,2021,,BCF; toxicity,,PMID:33609849
